article_title	PMID	sentence	short_form	long_form
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	Recent reports have indicated prolidase (PEPD) as a ligand of the epidermal growth factor receptor (EGFR). Since this receptor is involved in the promotion of cell proliferation, growth, and migration, we aimed to investigate whether prolidase may participate in wound healing in vitro. All experiments were performed in prolidase-treated human keratinocytes assessing cell vitality, proliferation, and migration. The expression of downstream signaling proteins induced by EGFR, insulin-like growth factor 1 (IGF-1), transforming growth factor β1 (TGF-β1), and β1-integrin receptors were evaluated by Western immunoblotting and immunocytochemical staining. To determine collagen biosynthesis and prolidase activity radiometric and colorimetric methods were used, respectively. Proline content was determined by applying the liquid chromatography coupled with mass spectrometry. We found that prolidase promoted the proliferation and migration of keratinocytes through stimulation of EGFR-downstream signaling pathways in which the PI3K/Akt/mTOR axis was involved. Moreover, PEPD upregulated the expression of β1-integrin and IGF-1 receptors and their downstream proteins. Proline concentration and collagen biosynthesis were increased in HaCaT cells under prolidase treatment. Since extracellular prolidase as a ligand of EGFR induced cell growth, migration, and collagen biosynthesis in keratinocytes, it may represent a potential therapeutic approach for the treatment of skin wounds.	TGF-Î²1	 transforming growth factor Î²1
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	Recent reports have indicated prolidase (PEPD) as a ligand of the epidermal growth factor receptor (EGFR). Since this receptor is involved in the promotion of cell proliferation, growth, and migration, we aimed to investigate whether prolidase may participate in wound healing in vitro. All experiments were performed in prolidase-treated human keratinocytes assessing cell vitality, proliferation, and migration. The expression of downstream signaling proteins induced by EGFR, insulin-like growth factor 1 (IGF-1), transforming growth factor β1 (TGF-β1), and β1-integrin receptors were evaluated by Western immunoblotting and immunocytochemical staining. To determine collagen biosynthesis and prolidase activity radiometric and colorimetric methods were used, respectively. Proline content was determined by applying the liquid chromatography coupled with mass spectrometry. We found that prolidase promoted the proliferation and migration of keratinocytes through stimulation of EGFR-downstream signaling pathways in which the PI3K/Akt/mTOR axis was involved. Moreover, PEPD upregulated the expression of β1-integrin and IGF-1 receptors and their downstream proteins. Proline concentration and collagen biosynthesis were increased in HaCaT cells under prolidase treatment. Since extracellular prolidase as a ligand of EGFR induced cell growth, migration, and collagen biosynthesis in keratinocytes, it may represent a potential therapeutic approach for the treatment of skin wounds.	IGF-1	 insulinlike growth factor 1
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	Recent reports have indicated prolidase (PEPD) as a ligand of the epidermal growth factor receptor (EGFR). Since this receptor is involved in the promotion of cell proliferation, growth, and migration, we aimed to investigate whether prolidase may participate in wound healing in vitro. All experiments were performed in prolidase-treated human keratinocytes assessing cell vitality, proliferation, and migration. The expression of downstream signaling proteins induced by EGFR, insulin-like growth factor 1 (IGF-1), transforming growth factor β1 (TGF-β1), and β1-integrin receptors were evaluated by Western immunoblotting and immunocytochemical staining. To determine collagen biosynthesis and prolidase activity radiometric and colorimetric methods were used, respectively. Proline content was determined by applying the liquid chromatography coupled with mass spectrometry. We found that prolidase promoted the proliferation and migration of keratinocytes through stimulation of EGFR-downstream signaling pathways in which the PI3K/Akt/mTOR axis was involved. Moreover, PEPD upregulated the expression of β1-integrin and IGF-1 receptors and their downstream proteins. Proline concentration and collagen biosynthesis were increased in HaCaT cells under prolidase treatment. Since extracellular prolidase as a ligand of EGFR induced cell growth, migration, and collagen biosynthesis in keratinocytes, it may represent a potential therapeutic approach for the treatment of skin wounds.	EGFR	 epidermal growth factor receptor
Biodegradable Hydrogels Loaded with Magnetically Responsive Microspheres as 2D and 3D Scaffolds.	33287454	Scaffolds play an essential role in the success of tissue engineering approaches. Their intrinsic properties are known to influence cellular processes such as adhesion, proliferation and differentiation. Hydrogel-based matrices are attractive scaffolds due to their high-water content resembling the native extracellular matrix. In addition, polymer-based magnetoelectric materials have demonstrated suitable bioactivity, allowing to provide magnetically and mechanically activated biophysical electrical stimuli capable of improving cellular processes. The present work reports on a responsive scaffold based on poly (L-lactic acid) (PLLA) microspheres and magnetic microsphere nanocomposites composed of PLLA and magnetostrictive cobalt ferrites (CoFe2O4), combined with a hydrogel matrix, which mimics the tissue's hydrated environment and acts as a support matrix. For cell proliferation evaluation, two different cell culture conditions (2D and 3D matrices) and two different strategies, static and dynamic culture, were applied in order to evaluate the influence of extracellular matrix-like confinement and the magnetoelectric/magneto-mechanical effect on cellular behavior. MC3T3-E1 proliferation rate is increased under dynamic conditions, indicating the potential use of hydrogel matrices with remotely stimulated magnetostrictive biomaterials for bone tissue engineering.	PLLA	-lactic acid) (
Biodegradable Hydrogels Loaded with Magnetically Responsive Microspheres as 2D and 3D Scaffolds.	33287454	Scaffolds play an essential role in the success of tissue engineering approaches. Their intrinsic properties are known to influence cellular processes such as adhesion, proliferation and differentiation. Hydrogel-based matrices are attractive scaffolds due to their high-water content resembling the native extracellular matrix. In addition, polymer-based magnetoelectric materials have demonstrated suitable bioactivity, allowing to provide magnetically and mechanically activated biophysical electrical stimuli capable of improving cellular processes. The present work reports on a responsive scaffold based on poly (L-lactic acid) (PLLA) microspheres and magnetic microsphere nanocomposites composed of PLLA and magnetostrictive cobalt ferrites (CoFe2O4), combined with a hydrogel matrix, which mimics the tissue's hydrated environment and acts as a support matrix. For cell proliferation evaluation, two different cell culture conditions (2D and 3D matrices) and two different strategies, static and dynamic culture, were applied in order to evaluate the influence of extracellular matrix-like confinement and the magnetoelectric/magneto-mechanical effect on cellular behavior. MC3T3-E1 proliferation rate is increased under dynamic conditions, indicating the potential use of hydrogel matrices with remotely stimulated magnetostrictive biomaterials for bone tissue engineering.	L	 poly (
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP). Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone. We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events. The fractional polynomial model was used to evaluate the adjusted hazard ratios for the survival indicators (OS and PFS). Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference. EP plus nivolumab, atezolizumab or durvalumab had significant benefits compared with EP alone in terms of OS (Hazard Ratio HR = 0.67, 95% Confidence Interval CI = 0.46-0.98 for nivolumab, HR = 0.70, 95% CI = 0.54-0.91 for atezolizumab, HR = 0.73, 95% CI = 0.59-0.90 for durvalumab) but no significant differences were observed for pembrolizumab or ipilimumab. The probability of nivolumab being ranked first among all treatment arms was highest (SCURA = 78.7%, Prbest = 46.7%). All EP plus ICI combinations had a longer PFS compared with EP alone (HR = 0.65, 95% CI = 0.46-0.92 for nivolumab, HR = 0.77, 95% CI = 0.61-0.96 for atezolizumab, HR = 0.78, 95% CI = 0.65-0.94 for durvalumab, HR = 0.75, 95% CI = 0.61-0.92 for pembrolizumab), and nivolumab was ranked first in terms of PFS (SCURA = 85.0%, Prbest = 66.8%). In addition, nivolumab had the highest probability of grade 3-4 adverse events (SUCRA = 84.8%) in our study. We found that nivolumab had the best PFS and OS in all combinations of ICIs and EP, but nivolumab also had the highest probability of grade 3-4 adverse events in our network meta-analysis. Further head-to head large-scale phase III randomized controlled studies are needed to verify our conclusions.	ORR	 objective response rate
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP). Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone. We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events. The fractional polynomial model was used to evaluate the adjusted hazard ratios for the survival indicators (OS and PFS). Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference. EP plus nivolumab, atezolizumab or durvalumab had significant benefits compared with EP alone in terms of OS (Hazard Ratio HR = 0.67, 95% Confidence Interval CI = 0.46-0.98 for nivolumab, HR = 0.70, 95% CI = 0.54-0.91 for atezolizumab, HR = 0.73, 95% CI = 0.59-0.90 for durvalumab) but no significant differences were observed for pembrolizumab or ipilimumab. The probability of nivolumab being ranked first among all treatment arms was highest (SCURA = 78.7%, Prbest = 46.7%). All EP plus ICI combinations had a longer PFS compared with EP alone (HR = 0.65, 95% CI = 0.46-0.92 for nivolumab, HR = 0.77, 95% CI = 0.61-0.96 for atezolizumab, HR = 0.78, 95% CI = 0.65-0.94 for durvalumab, HR = 0.75, 95% CI = 0.61-0.92 for pembrolizumab), and nivolumab was ranked first in terms of PFS (SCURA = 85.0%, Prbest = 66.8%). In addition, nivolumab had the highest probability of grade 3-4 adverse events (SUCRA = 84.8%) in our study. We found that nivolumab had the best PFS and OS in all combinations of ICIs and EP, but nivolumab also had the highest probability of grade 3-4 adverse events in our network meta-analysis. Further head-to head large-scale phase III randomized controlled studies are needed to verify our conclusions.	PFS	 progression free survival
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP). Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone. We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events. The fractional polynomial model was used to evaluate the adjusted hazard ratios for the survival indicators (OS and PFS). Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference. EP plus nivolumab, atezolizumab or durvalumab had significant benefits compared with EP alone in terms of OS (Hazard Ratio HR = 0.67, 95% Confidence Interval CI = 0.46-0.98 for nivolumab, HR = 0.70, 95% CI = 0.54-0.91 for atezolizumab, HR = 0.73, 95% CI = 0.59-0.90 for durvalumab) but no significant differences were observed for pembrolizumab or ipilimumab. The probability of nivolumab being ranked first among all treatment arms was highest (SCURA = 78.7%, Prbest = 46.7%). All EP plus ICI combinations had a longer PFS compared with EP alone (HR = 0.65, 95% CI = 0.46-0.92 for nivolumab, HR = 0.77, 95% CI = 0.61-0.96 for atezolizumab, HR = 0.78, 95% CI = 0.65-0.94 for durvalumab, HR = 0.75, 95% CI = 0.61-0.92 for pembrolizumab), and nivolumab was ranked first in terms of PFS (SCURA = 85.0%, Prbest = 66.8%). In addition, nivolumab had the highest probability of grade 3-4 adverse events (SUCRA = 84.8%) in our study. We found that nivolumab had the best PFS and OS in all combinations of ICIs and EP, but nivolumab also had the highest probability of grade 3-4 adverse events in our network meta-analysis. Further head-to head large-scale phase III randomized controlled studies are needed to verify our conclusions.	OS	 overall survival
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP). Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone. We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events. The fractional polynomial model was used to evaluate the adjusted hazard ratios for the survival indicators (OS and PFS). Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference. EP plus nivolumab, atezolizumab or durvalumab had significant benefits compared with EP alone in terms of OS (Hazard Ratio HR = 0.67, 95% Confidence Interval CI = 0.46-0.98 for nivolumab, HR = 0.70, 95% CI = 0.54-0.91 for atezolizumab, HR = 0.73, 95% CI = 0.59-0.90 for durvalumab) but no significant differences were observed for pembrolizumab or ipilimumab. The probability of nivolumab being ranked first among all treatment arms was highest (SCURA = 78.7%, Prbest = 46.7%). All EP plus ICI combinations had a longer PFS compared with EP alone (HR = 0.65, 95% CI = 0.46-0.92 for nivolumab, HR = 0.77, 95% CI = 0.61-0.96 for atezolizumab, HR = 0.78, 95% CI = 0.65-0.94 for durvalumab, HR = 0.75, 95% CI = 0.61-0.92 for pembrolizumab), and nivolumab was ranked first in terms of PFS (SCURA = 85.0%, Prbest = 66.8%). In addition, nivolumab had the highest probability of grade 3-4 adverse events (SUCRA = 84.8%) in our study. We found that nivolumab had the best PFS and OS in all combinations of ICIs and EP, but nivolumab also had the highest probability of grade 3-4 adverse events in our network meta-analysis. Further head-to head large-scale phase III randomized controlled studies are needed to verify our conclusions.	ICIs	 immune checkpoint inhibitors
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP). Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone. We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events. The fractional polynomial model was used to evaluate the adjusted hazard ratios for the survival indicators (OS and PFS). Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference. EP plus nivolumab, atezolizumab or durvalumab had significant benefits compared with EP alone in terms of OS (Hazard Ratio HR = 0.67, 95% Confidence Interval CI = 0.46-0.98 for nivolumab, HR = 0.70, 95% CI = 0.54-0.91 for atezolizumab, HR = 0.73, 95% CI = 0.59-0.90 for durvalumab) but no significant differences were observed for pembrolizumab or ipilimumab. The probability of nivolumab being ranked first among all treatment arms was highest (SCURA = 78.7%, Prbest = 46.7%). All EP plus ICI combinations had a longer PFS compared with EP alone (HR = 0.65, 95% CI = 0.46-0.92 for nivolumab, HR = 0.77, 95% CI = 0.61-0.96 for atezolizumab, HR = 0.78, 95% CI = 0.65-0.94 for durvalumab, HR = 0.75, 95% CI = 0.61-0.92 for pembrolizumab), and nivolumab was ranked first in terms of PFS (SCURA = 85.0%, Prbest = 66.8%). In addition, nivolumab had the highest probability of grade 3-4 adverse events (SUCRA = 84.8%) in our study. We found that nivolumab had the best PFS and OS in all combinations of ICIs and EP, but nivolumab also had the highest probability of grade 3-4 adverse events in our network meta-analysis. Further head-to head large-scale phase III randomized controlled studies are needed to verify our conclusions.	EP	 platinum
